*** UNIVERSALMUTATOR ***
MUTATING WITH RULES: universal.rules, solidity.rules, c_like.rules
SKIPPED 182 MUTANTS ONLY CHANGING STRING LITERALS
15110 MUTANTS GENERATED BY RULES
PROCESSING MUTANT: 66:         address borrower;        // borrower address to take from  ==>          address borrower;        //  address to take from...VALID [written to mutants/Auctions/Auctions.mutant.0.sol] 
PROCESSING MUTANT: 86:         uint256 borrowerCollateral; // [WAD] amount of kicked borrower collateral  ==>          uint256 borrowerCollateral; //  amount of kicked borrower collateral...VALID [written to mutants/Auctions/Auctions.mutant.16.sol] 
PROCESSING MUTANT: 87:         uint256 neutralPrice;       // [WAD] neutral price recorded in kick action  ==>          uint256 neutralPrice;       //  neutral price recorded in kick action...VALID [written to mutants/Auctions/Auctions.mutant.17.sol] 
PROCESSING MUTANT: 88:         uint256 noOfLoans;          // number of loans and auctions in pool (used to calculate MOMP)  ==>          uint256 noOfLoans;          //  of loans and auctions in pool (used to calculate MOMP)...VALID [written to mutants/Auctions/Auctions.mutant.18.sol] 
PROCESSING MUTANT: 89:         uint256 momp;               // [WAD] MOMP of kicked auction  ==>          uint256 momp;               //  MOMP of kicked auction...VALID [written to mutants/Auctions/Auctions.mutant.19.sol] 
PROCESSING MUTANT: 90:         uint256 bondFactor;         // [WAD] bond factor of kicked auction  ==>          uint256 bondFactor;         //  bond factor of kicked auction...VALID [written to mutants/Auctions/Auctions.mutant.20.sol] 
PROCESSING MUTANT: 91:         uint256 bondSize;           // [WAD] bond size of kicked auction  ==>          uint256 bondSize;           //  bond size of kicked auction...VALID [written to mutants/Auctions/Auctions.mutant.21.sol] 
PROCESSING MUTANT: 92:         uint256 t0KickPenalty;      // [WAD] t0 debt added as kick penalty  ==>          uint256 t0KickPenalty;      // [WAD] t1 debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.22.sol] 
PROCESSING MUTANT: 92:         uint256 t0KickPenalty;      // [WAD] t0 debt added as kick penalty  ==>          uint256 t0KickPenalty;      // [WAD] t-1 debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.23.sol] 
PROCESSING MUTANT: 92:         uint256 t0KickPenalty;      // [WAD] t0 debt added as kick penalty  ==>          uint256 t0KickPenalty;      // [WAD] t(0+1) debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.24.sol] 
PROCESSING MUTANT: 92:         uint256 t0KickPenalty;      // [WAD] t0 debt added as kick penalty  ==>          uint256 t0KickPenalty;      // [WAD] t(0-1) debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.25.sol] 
PROCESSING MUTANT: 92:         uint256 t0KickPenalty;      // [WAD] t0 debt added as kick penalty  ==>          uint256 t0KickPenalty;      //  t0 debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.26.sol] 
PROCESSING MUTANT: 93:         uint256 kickPenalty;        // [WAD] current debt added as kick penalty  ==>          uint256 kickPenalty;        //  current debt added as kick penalty...VALID [written to mutants/Auctions/Auctions.mutant.27.sol] 
PROCESSING MUTANT: 96:         uint256 amountToDebitFromDeposit; // [WAD] the amount of quote tokens used to kick and debited from lender deposit  ==>          uint256 amountToDebitFromDeposit; // [WAD] the amount of quote tokens used to kick and debited from lbeginer deposit...VALID [written to mutants/Auctions/Auctions.mutant.28.sol] 
PROCESSING MUTANT: 96:         uint256 amountToDebitFromDeposit; // [WAD] the amount of quote tokens used to kick and debited from lender deposit  ==>          uint256 amountToDebitFromDeposit; //  the amount of quote tokens used to kick and debited from lender deposit...VALID [written to mutants/Auctions/Auctions.mutant.29.sol] 
PROCESSING MUTANT: 97:         uint256 bucketCollateral;         // [WAD] amount of collateral in bucket  ==>          uint256 bucketCollateral;         //  amount of collateral in bucket...VALID [written to mutants/Auctions/Auctions.mutant.30.sol] 
PROCESSING MUTANT: 98:         uint256 bucketDeposit;            // [WAD] amount of quote tokens in bucket  ==>          uint256 bucketDeposit;            //  amount of quote tokens in bucket...VALID [written to mutants/Auctions/Auctions.mutant.31.sol] 
PROCESSING MUTANT: 99:         uint256 bucketLPs;                // [WAD] LPs of the bucket  ==>          uint256 bucketLPs;                //  LPs of the bucket...VALID [written to mutants/Auctions/Auctions.mutant.32.sol] 
PROCESSING MUTANT: 100:         uint256 bucketPrice;              // [WAD] bucket price  ==>          uint256 bucketPrice;              //  bucket price...VALID [written to mutants/Auctions/Auctions.mutant.33.sol] 
PROCESSING MUTANT: 101:         uint256 bucketRate;               // [WAD] bucket exchange rate  ==>          uint256 bucketRate;               //  bucket exchange rate...VALID [written to mutants/Auctions/Auctions.mutant.34.sol] 
PROCESSING MUTANT: 102:         uint256 bucketScale;              // [WAD] bucket scales  ==>          uint256 bucketScale;              //  bucket scales...VALID [written to mutants/Auctions/Auctions.mutant.35.sol] 
PROCESSING MUTANT: 103:         uint256 bucketUnscaledDeposit;    // [WAD] unscaled amount of quote tokens in bucket  ==>          uint256 bucketUnscaledDeposit;    //  unscaled amount of quote tokens in bucket...VALID [written to mutants/Auctions/Auctions.mutant.36.sol] 
PROCESSING MUTANT: 104:         uint256 lenderLPs;                // [WAD] LPs of lender in bucket  ==>          uint256 lenderLPs;                // [WAD] LPs of lbeginer in bucket...VALID [written to mutants/Auctions/Auctions.mutant.37.sol] 
PROCESSING MUTANT: 104:         uint256 lenderLPs;                // [WAD] LPs of lender in bucket  ==>          uint256 lenderLPs;                //  LPs of lender in bucket...VALID [written to mutants/Auctions/Auctions.mutant.38.sol] 
PROCESSING MUTANT: 105:         uint256 redeemedLPs;              // [WAD] LPs used by kick action  ==>          uint256 redeemedLPs;              //  LPs used by kick action...VALID [written to mutants/Auctions/Auctions.mutant.39.sol] 
PROCESSING MUTANT: 108:         uint256 collateralUsed;    // [WAD] collateral used to settle debt  ==>          uint256 collateralUsed;    //  collateral used to settle debt...VALID [written to mutants/Auctions/Auctions.mutant.40.sol] 
PROCESSING MUTANT: 109:         uint256 debt;              // [WAD] debt to settle  ==>          uint256 debt;              //  debt to settle...VALID [written to mutants/Auctions/Auctions.mutant.41.sol] 
PROCESSING MUTANT: 110:         uint256 depositToRemove;   // [WAD] deposit used by settle auction  ==>          uint256 depositToRemove;   //  deposit used by settle auction...VALID [written to mutants/Auctions/Auctions.mutant.42.sol] 
PROCESSING MUTANT: 111:         uint256 index;             // index of settling bucket  ==>          uint256 index;             //  of settling bucket...VALID [written to mutants/Auctions/Auctions.mutant.43.sol] 
PROCESSING MUTANT: 112:         uint256 maxSettleableDebt; // [WAD] max amount that can be settled with existing collateral  ==>          uint256 maxSettleableDebt; // [WAD] min amount that can be settled with existing collateral...VALID [written to mutants/Auctions/Auctions.mutant.44.sol] 
PROCESSING MUTANT: 112:         uint256 maxSettleableDebt; // [WAD] max amount that can be settled with existing collateral  ==>          uint256 maxSettleableDebt; //  max amount that can be settled with existing collateral...VALID [written to mutants/Auctions/Auctions.mutant.45.sol] 
PROCESSING MUTANT: 113:         uint256 price;             // [WAD] price of settling bucket  ==>          uint256 price;             //  price of settling bucket...VALID [written to mutants/Auctions/Auctions.mutant.46.sol] 
PROCESSING MUTANT: 114:         uint256 scaledDeposit;     // [WAD] scaled amount of quote tokens in bucket  ==>          uint256 scaledDeposit;     //  scaled amount of quote tokens in bucket...VALID [written to mutants/Auctions/Auctions.mutant.47.sol] 
PROCESSING MUTANT: 115:         uint256 scale;             // [WAD] scale of settling bucket  ==>          uint256 scale;             //  scale of settling bucket...VALID [written to mutants/Auctions/Auctions.mutant.48.sol] 
PROCESSING MUTANT: 116:         uint256 unscaledDeposit;   // [WAD] unscaled amount of quote tokens in bucket  ==>          uint256 unscaledDeposit;   //  unscaled amount of quote tokens in bucket...VALID [written to mutants/Auctions/Auctions.mutant.49.sol] 
PROCESSING MUTANT: 119:         uint256 auctionPrice;             // [WAD] The price of auction.  ==>          uint256 auctionPrice;             //  The price of auction....VALID [written to mutants/Auctions/Auctions.mutant.50.sol] 
PROCESSING MUTANT: 120:         uint256 bondChange;               // [WAD] The change made on the bond size (beeing reward or penalty).  ==>          uint256 bondChange;               //  The change made on the bond size (beeing reward or penalty)....VALID [written to mutants/Auctions/Auctions.mutant.51.sol] 
PROCESSING MUTANT: 121:         uint256 borrowerDebt;             // [WAD] The accrued debt of auctioned borrower.  ==>          uint256 borrowerDebt;             //  The accrued debt of auctioned borrower....VALID [written to mutants/Auctions/Auctions.mutant.52.sol] 
PROCESSING MUTANT: 122:         int256  bpf;                      // The bond penalty factor.  ==>          int256  bpf;                      //  bond penalty factor....VALID [written to mutants/Auctions/Auctions.mutant.53.sol] 
PROCESSING MUTANT: 123:         uint256 bucketPrice;              // [WAD] The bucket price.  ==>          uint256 bucketPrice;              //  The bucket price....VALID [written to mutants/Auctions/Auctions.mutant.54.sol] 
PROCESSING MUTANT: 124:         uint256 bucketScale;              // [WAD] The bucket scale.  ==>          uint256 bucketScale;              //  The bucket scale....VALID [written to mutants/Auctions/Auctions.mutant.55.sol] 
PROCESSING MUTANT: 125:         uint256 collateralAmount;         // [WAD] The amount of collateral taken.  ==>          uint256 collateralAmount;         //  The amount of collateral taken....VALID [written to mutants/Auctions/Auctions.mutant.56.sol] 
PROCESSING MUTANT: 126:         uint256 excessQuoteToken;         // [WAD] Difference of quote token that borrower receives after take (for fractional NFT only)  ==>          uint256 excessQuoteToken;         //  Difference of quote token that borrower receives after take (for fractional NFT only)...VALID [written to mutants/Auctions/Auctions.mutant.57.sol] 
PROCESSING MUTANT: 127:         uint256 factor;                   // The take factor, calculated based on bond penalty factor.  ==>          uint256 factor;                   //  take factor, calculated based on bond penalty factor....VALID [written to mutants/Auctions/Auctions.mutant.58.sol] 
PROCESSING MUTANT: 128:         bool    isRewarded;               // True if kicker is rewarded (auction price lower than neutral price), false if penalized (auction price greater than neutral price).  ==>          bool    isRewarded;               // True if kicker is rewarded ( false if penalized (auction price greater than neutral price,auction price lower than neutral price))....VALID [written to mutants/Auctions/Auctions.mutant.59.sol] 
PROCESSING MUTANT: 128:         bool    isRewarded;               // True if kicker is rewarded (auction price lower than neutral price), false if penalized (auction price greater than neutral price).  ==>          bool    isRewarded;               // True if kicker is rewarded (auction price lower than neutral price), true if penalized (auction price greater than neutral price)....VALID [written to mutants/Auctions/Auctions.mutant.60.sol] 
PROCESSING MUTANT: 128:         bool    isRewarded;               // True if kicker is rewarded (auction price lower than neutral price), false if penalized (auction price greater than neutral price).  ==>          bool    isRewarded;               //  if kicker is rewarded (auction price lower than neutral price), false if penalized (auction price greater than neutral price)....VALID [written to mutants/Auctions/Auctions.mutant.61.sol] 
PROCESSING MUTANT: 129:         address kicker;                   // Address of auction kicker.  ==>          address kicker;                   //  of auction kicker....VALID [written to mutants/Auctions/Auctions.mutant.62.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1+bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.63.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1*bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.64.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1/bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.65.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1%bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.66.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.67.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 0-bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.68.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before -1-bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.69.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before (1+1)-bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.70.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before (1-1)-bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.71.sol] 
PROCESSING MUTANT: 130:         uint256 quoteTokenAmount;         // [WAD] Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral  ==>          uint256 quoteTokenAmount;         //  Scaled quantity in Fenwick tree and before 1-bpf factor, paid for collateral...VALID [written to mutants/Auctions/Auctions.mutant.72.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered + repayed by take t0 terms....VALID [written to mutants/Auctions/Auctions.mutant.73.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered - repayed by take t0 terms....VALID [written to mutants/Auctions/Auctions.mutant.74.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered * repayed by take t0 terms....VALID [written to mutants/Auctions/Auctions.mutant.75.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered % repayed by take t0 terms....VALID [written to mutants/Auctions/Auctions.mutant.76.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t1 terms....VALID [written to mutants/Auctions/Auctions.mutant.77.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t-1 terms....VALID [written to mutants/Auctions/Auctions.mutant.78.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t(0+1) terms....VALID [written to mutants/Auctions/Auctions.mutant.79.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t(0-1) terms....VALID [written to mutants/Auctions/Auctions.mutant.80.sol] 
PROCESSING MUTANT: 131:         uint256 t0RepayAmount;            // [WAD] The amount of debt (quote tokens) that is recovered / repayed by take t0 terms.  ==>          uint256 t0RepayAmount;            //  The amount of debt (quote tokens) that is recovered / repayed by take t0 terms....VALID [written to mutants/Auctions/Auctions.mutant.81.sol] 
PROCESSING MUTANT: 132:         uint256 t0BorrowerDebt;           // [WAD] Borrower's t0 debt.  ==>          uint256 t0BorrowerDebt;           // [WAD] Borrower's t1 debt....VALID [written to mutants/Auctions/Auctions.mutant.82.sol] 
PROCESSING MUTANT: 132:         uint256 t0BorrowerDebt;           // [WAD] Borrower's t0 debt.  ==>          uint256 t0BorrowerDebt;           // [WAD] Borrower's t-1 debt....VALID [written to mutants/Auctions/Auctions.mutant.83.sol] 
PROCESSING MUTANT: 132:         uint256 t0BorrowerDebt;           // [WAD] Borrower's t0 debt.  ==>          uint256 t0BorrowerDebt;           // [WAD] Borrower's t(0+1) debt....VALID [written to mutants/Auctions/Auctions.mutant.84.sol] 
PROCESSING MUTANT: 132:         uint256 t0BorrowerDebt;           // [WAD] Borrower's t0 debt.  ==>          uint256 t0BorrowerDebt;           // [WAD] Borrower's t(0-1) debt....VALID [written to mutants/Auctions/Auctions.mutant.85.sol] 
PROCESSING MUTANT: 132:         uint256 t0BorrowerDebt;           // [WAD] Borrower's t0 debt.  ==>          uint256 t0BorrowerDebt;           //  Borrower's t0 debt....VALID [written to mutants/Auctions/Auctions.mutant.86.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty + 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.87.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty * 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.88.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty / 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.89.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty % 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.90.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7+ from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.91.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7- from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.92.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7* from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.93.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7/ from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.94.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty  7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.95.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t1 penalty - 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.96.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t-1 penalty - 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.97.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t(0+1) penalty - 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.98.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t(0-1) penalty - 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.99.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if uintial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.100.sol] 
PROCESSING MUTANT: 133:         uint256 t0DebtPenalty;            // [WAD] Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise.  ==>          uint256 t0DebtPenalty;            //  Borrower's t0 penalty - 7% from current debt if intial take, 0 otherwise....VALID [written to mutants/Auctions/Auctions.mutant.101.sol] 
PROCESSING MUTANT: 134:         uint256 unscaledDeposit;          // [WAD] Unscaled bucket quantity  ==>          uint256 unscaledDeposit;          //  Unscaled bucket quantity...VALID [written to mutants/Auctions/Auctions.mutant.102.sol] 
PROCESSING MUTANT: 135:         uint256 unscaledQuoteTokenAmount; // [WAD] The unscaled token amount that taker should pay for collateral taken.  ==>          uint256 unscaledQuoteTokenAmount; //  The unscaled token amount that taker should pay for collateral taken....VALID [written to mutants/Auctions/Auctions.mutant.103.sol] 
PROCESSING MUTANT: 144:     event AuctionNFTSettle(address indexed borrower, uint256 collateral, uint256 lps, uint256 index);  ==>      event AuctionNFTSettle(address indexed borrower, uint256 lps, uint256 collateral, uint256 index);...VALID [written to mutants/Auctions/Auctions.mutant.104.sol] 
PROCESSING MUTANT: 144:     event AuctionNFTSettle(address indexed borrower, uint256 collateral, uint256 lps, uint256 index);  ==>      event AuctionNFTSettle(address indexed borrower, uint256 collateral, uint256 index, uint256 lps);...VALID [written to mutants/Auctions/Auctions.mutant.105.sol] 
PROCESSING MUTANT: 144:     event AuctionNFTSettle(address indexed borrower, uint256 collateral, uint256 lps, uint256 index);  ==>      event AuctionNFTSettle(address  borrower, uint256 collateral, uint256 lps, uint256 index);...VALID [written to mutants/Auctions/Auctions.mutant.106.sol] 
PROCESSING MUTANT: 145:     event BucketTake(address indexed borrower, uint256 index, uint256 amount, uint256 collateral, uint256 bondChange, bool isReward);  ==>      event BucketTake(address indexed borrower, uint256 amount, uint256 index, uint256 collateral, uint256 bondChange, bool isReward);...VALID [written to mutants/Auctions/Auctions.mutant.107.sol] 
PROCESSING MUTANT: 145:     event BucketTake(address indexed borrower, uint256 index, uint256 amount, uint256 collateral, uint256 bondChange, bool isReward);  ==>      event BucketTake(address indexed borrower, uint256 index, uint256 collateral, uint256 amount, uint256 bondChange, bool isReward);...VALID [written to mutants/Auctions/Auctions.mutant.108.sol] 
